timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659018221381,15599,Homepage,200,OK,Thread Group 1-1,text,true,,215024,117,30,30,https://ajkerdeal.com/,1831,0,1090
1659018221809,15255,Homepage,200,OK,Thread Group 1-18,text,true,,215024,117,30,30,https://ajkerdeal.com/,3491,0,752
1659018221512,16522,Homepage,200,OK,Thread Group 1-9,text,true,,215024,117,30,30,https://ajkerdeal.com/,3878,0,2854
1659018221381,17518,Homepage,200,OK,Thread Group 1-5,text,true,,215024,117,30,30,https://ajkerdeal.com/,6168,0,4651
1659018221974,17824,Homepage,200,OK,Thread Group 1-23,text,true,,215024,117,30,30,https://ajkerdeal.com/,2511,0,759
1659018221942,17956,Homepage,200,OK,Thread Group 1-22,text,true,,215024,117,30,30,https://ajkerdeal.com/,1499,0,753
1659018221880,18919,Homepage,200,OK,Thread Group 1-20,text,true,,215024,117,30,30,https://ajkerdeal.com/,3147,0,1683
1659018221414,19585,Homepage,200,OK,Thread Group 1-6,text,true,,215024,117,30,30,https://ajkerdeal.com/,5424,0,1936
1659018221579,19485,Homepage,200,OK,Thread Group 1-11,text,true,,215024,117,30,30,https://ajkerdeal.com/,4186,0,2052
1659018221743,20293,Homepage,200,OK,Thread Group 1-16,text,true,,215024,117,30,30,https://ajkerdeal.com/,6288,0,5250
1659018222106,20222,Homepage,200,OK,Thread Group 1-27,text,true,,215024,117,30,30,https://ajkerdeal.com/,2980,0,750
1659018222206,21164,Homepage,200,OK,Thread Group 1-30,text,true,,215024,117,30,30,https://ajkerdeal.com/,6423,0,2785
1659018222041,21770,Homepage,200,OK,Thread Group 1-25,text,true,,215024,117,30,30,https://ajkerdeal.com/,2615,0,1408
1659018236981,8736,Bangla to English,200,OK,Thread Group 1-1,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,1665,0,0
1659018221927,24035,Homepage,200,OK,Thread Group 1-21,text,true,,215024,117,30,30,https://ajkerdeal.com/,3516,0,1376
1659018222073,24003,Homepage,200,OK,Thread Group 1-26,text,true,,215024,117,30,30,https://ajkerdeal.com/,3379,0,724
1659018221710,24375,Homepage,200,OK,Thread Group 1-15,text,true,,215024,117,30,30,https://ajkerdeal.com/,4028,0,2081
1659018221479,24624,Homepage,200,OK,Thread Group 1-8,text,true,,215024,117,30,30,https://ajkerdeal.com/,3575,0,2014
1659018221847,25777,Homepage,200,OK,Thread Group 1-19,text,true,,215024,117,30,30,https://ajkerdeal.com/,9044,0,2862
1659018222139,25599,Homepage,200,OK,Thread Group 1-28,text,true,,215024,117,30,30,https://ajkerdeal.com/,3736,0,1696
1659018221381,27523,Homepage,200,OK,Thread Group 1-3,text,true,,215024,117,30,30,https://ajkerdeal.com/,3633,0,2385
1659018245717,3702,Registration page,200,OK,Thread Group 1-1,text,true,,38644,151,30,30,https://ajkerdeal.com/customers/registersingleorder.aspx,2708,0,0
1659018221678,28370,Homepage,200,OK,Thread Group 1-14,text,true,,215024,117,30,30,https://ajkerdeal.com/,2474,0,771
1659018221776,28353,Homepage,200,OK,Thread Group 1-17,text,true,,215024,117,30,30,https://ajkerdeal.com/,5183,0,3822
1659018238900,11471,Bangla to English,200,OK,Thread Group 1-5,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,2743,0,0
1659018221448,29250,Homepage,200,OK,Thread Group 1-7,text,true,,215024,117,30,30,https://ajkerdeal.com/,4314,0,3096
1659018221611,29491,Homepage,200,OK,Thread Group 1-12,text,true,,215024,117,30,30,https://ajkerdeal.com/,4364,0,1807
1659018221381,30386,Homepage,200,OK,Thread Group 1-4,text,true,,215024,117,30,30,https://ajkerdeal.com/,4307,0,2401
1659018237064,14996,Bangla to English,200,OK,Thread Group 1-18,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,1562,0,0
1659018242037,10964,Bangla to English,200,OK,Thread Group 1-16,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,1284,0,0
1659018222008,31204,Homepage,200,OK,Thread Group 1-24,text,true,,215024,117,30,30,https://ajkerdeal.com/,8805,0,6973
1659018250372,3500,Registration page,200,OK,Thread Group 1-5,text,true,,38644,151,30,30,https://ajkerdeal.com/customers/registersingleorder.aspx,2782,0,0
1659018222173,32087,Homepage,200,OK,Thread Group 1-29,text,true,,215024,117,30,30,https://ajkerdeal.com/,4935,0,1987
1659018252060,3060,Registration page,200,OK,Thread Group 1-18,text,true,,38644,151,30,30,https://ajkerdeal.com/customers/registersingleorder.aspx,1909,0,0
1659018221381,33914,Homepage,200,OK,Thread Group 1-2,text,true,,215024,117,30,30,https://ajkerdeal.com/,6639,0,4395
1659018239798,15618,Bangla to English,200,OK,Thread Group 1-23,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,1213,0,0
1659018246103,9754,Bangla to English,200,OK,Thread Group 1-8,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,1215,0,0
1659018238034,19655,Bangla to English,200,OK,Thread Group 1-9,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,1538,0,0
1659018243370,14690,Bangla to English,200,OK,Thread Group 1-30,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,723,0,0
1659018242329,15775,Bangla to English,200,OK,Thread Group 1-27,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,1343,0,0
1659018221643,37412,Homepage,200,OK,Thread Group 1-13,text,true,,215024,117,30,30,https://ajkerdeal.com/,5144,0,809
1659018246085,13764,Bangla to English,200,OK,Thread Group 1-15,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,1951,0,0
1659018255416,5346,Registration page,200,OK,Thread Group 1-23,text,true,,38644,151,30,30,https://ajkerdeal.com/customers/registersingleorder.aspx,3888,0,0
1659018239899,21217,Bangla to English,200,OK,Thread Group 1-22,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,2512,0,0
1659018248904,12670,Bangla to English,200,OK,Thread Group 1-3,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,1311,0,0
1659018240801,20835,Bangla to English,200,OK,Thread Group 1-20,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,1207,0,0
1659018241065,20576,Bangla to English,200,OK,Thread Group 1-11,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,2910,0,0
1659018255858,6439,Registration page,200,OK,Thread Group 1-8,text,true,,38644,151,30,30,https://ajkerdeal.com/customers/registersingleorder.aspx,5475,0,0
1659018259849,3272,Registration page,200,OK,Thread Group 1-15,text,true,,38644,151,30,30,https://ajkerdeal.com/customers/registersingleorder.aspx,2042,0,0
1659018246077,18781,Bangla to English,200,OK,Thread Group 1-26,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,4743,0,0
1659018241000,24292,Bangla to English,200,OK,Thread Group 1-6,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,3935,0,0
1659018257689,7636,Registration page,200,OK,Thread Group 1-9,text,true,,38644,151,30,30,https://ajkerdeal.com/customers/registersingleorder.aspx,5669,0,0
1659018249419,16042,After Login,200,OK,Thread Group 1-1,text,true,,215525,260,30,30,https://www.ajkerdeal.com/,243,0,0
1659018249419,243,After Login-0,302,Found,Thread Group 1-1,text,true,,501,139,30,30,https://ajkerdeal.com/customers/default.aspx,243,0,0
1659018249663,15798,After Login-1,200,OK,Thread Group 1-1,text,true,,215024,121,30,30,https://www.ajkerdeal.com/,6159,0,4866
1659018243811,21800,Bangla to English,200,OK,Thread Group 1-25,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,3380,0,0
1659018261574,4433,Registration page,200,OK,Thread Group 1-3,text,true,,38644,151,30,30,https://ajkerdeal.com/customers/registersingleorder.aspx,3045,0,0
1659018258060,7980,Registration page,200,OK,Thread Group 1-30,text,true,,38644,151,30,30,https://ajkerdeal.com/customers/registersingleorder.aspx,5440,0,0
1659018251767,14730,Bangla to English,200,OK,Thread Group 1-4,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,1581,0,0
1659018261642,5749,Registration page,200,OK,Thread Group 1-11,text,true,,38644,151,30,30,https://ajkerdeal.com/customers/registersingleorder.aspx,5048,0,0
1659018261637,6071,Registration page,200,OK,Thread Group 1-20,text,true,,38644,151,30,30,https://ajkerdeal.com/customers/registersingleorder.aspx,3353,0,0
1659018250049,17778,Bangla to English,200,OK,Thread Group 1-14,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,3350,0,0
1659018247625,20685,Bangla to English,200,OK,Thread Group 1-19,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,2446,0,0
1659018265293,3442,Registration page,200,OK,Thread Group 1-6,text,true,,38644,151,30,30,https://ajkerdeal.com/customers/registersingleorder.aspx,2197,0,0
1659018221545,47373,Homepage,200,OK,Thread Group 1-10,text,true,,215024,117,30,30,https://ajkerdeal.com/,5473,0,2505
1659018250130,18989,Bangla to English,200,OK,Thread Group 1-17,text,true,,197136,120,30,30,https://ajkerdeal.com/en/,780,0,0
