timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659018076860,179,After Login-0,302,Found,Thread Group 1-3,text,true,,501,139,10,10,https://ajkerdeal.com/customers/default.aspx,179,0,0
1659018077040,8899,After Login-1,200,OK,Thread Group 1-3,text,true,,215024,121,10,10,https://www.ajkerdeal.com/,3663,0,2985
1659018080235,6025,After Login,200,OK,Thread Group 1-4,text,true,,215525,260,10,10,https://www.ajkerdeal.com/,165,0,0
1659018080235,165,After Login-0,302,Found,Thread Group 1-4,text,true,,501,139,10,10,https://ajkerdeal.com/customers/default.aspx,165,0,0
1659018080401,5859,After Login-1,200,OK,Thread Group 1-4,text,true,,215024,121,10,10,https://www.ajkerdeal.com/,1233,0,531
1659018080219,6481,After Login,200,OK,Thread Group 1-7,text,true,,215525,260,10,10,https://www.ajkerdeal.com/,169,0,0
1659018080219,169,After Login-0,302,Found,Thread Group 1-7,text,true,,501,139,10,10,https://ajkerdeal.com/customers/default.aspx,169,0,0
1659018080388,6312,After Login-1,200,OK,Thread Group 1-7,text,true,,215024,121,10,10,https://www.ajkerdeal.com/,1065,0,550
1659018077475,9664,After Login,200,OK,Thread Group 1-1,text,true,,215525,260,10,10,https://www.ajkerdeal.com/,1142,0,0
1659018077475,1142,After Login-0,302,Found,Thread Group 1-1,text,true,,501,139,10,10,https://ajkerdeal.com/customers/default.aspx,1142,0,0
1659018078617,8522,After Login-1,200,OK,Thread Group 1-1,text,true,,215024,121,10,10,https://www.ajkerdeal.com/,1273,0,567
1659018080924,6388,After Login,200,OK,Thread Group 1-8,text,true,,215525,260,10,10,https://www.ajkerdeal.com/,165,0,0
1659018080924,165,After Login-0,302,Found,Thread Group 1-8,text,true,,501,139,10,10,https://ajkerdeal.com/customers/default.aspx,165,0,0
1659018081090,6222,After Login-1,200,OK,Thread Group 1-8,text,true,,215024,121,10,10,https://www.ajkerdeal.com/,1062,0,538
1659018085173,2362,Search,200,OK,Thread Group 1-5,text,true,,133186,144,10,10,https://ajkerdeal.com/searchproduct.aspx?kw=shirt,330,0,0
1659018082109,5689,After Login,200,OK,Thread Group 1-10,text,true,,215525,260,10,10,https://www.ajkerdeal.com/,170,0,0
1659018082109,170,After Login-0,302,Found,Thread Group 1-10,text,true,,501,139,10,10,https://ajkerdeal.com/customers/default.aspx,170,0,0
1659018082279,5519,After Login-1,200,OK,Thread Group 1-10,text,true,,215024,121,10,10,https://www.ajkerdeal.com/,1804,0,1135
1659018085398,2588,Search,200,OK,Thread Group 1-9,text,true,,133186,144,10,10,https://ajkerdeal.com/searchproduct.aspx?kw=shirt,511,0,0
1659018078646,9397,After Login,200,OK,Thread Group 1-6,text,true,,215525,260,10,10,https://www.ajkerdeal.com/,301,0,0
1659018078646,301,After Login-0,302,Found,Thread Group 1-6,text,true,,501,139,10,10,https://ajkerdeal.com/customers/default.aspx,301,0,0
1659018078947,9096,After Login-1,200,OK,Thread Group 1-6,text,true,,215024,121,10,10,https://www.ajkerdeal.com/,1852,0,1173
1659018086261,2143,Search,200,OK,Thread Group 1-4,text,true,,133186,144,10,10,https://ajkerdeal.com/searchproduct.aspx?kw=shirt,332,0,0
1659018085579,3168,Search,200,OK,Thread Group 1-2,text,true,,133186,144,10,10,https://ajkerdeal.com/searchproduct.aspx?kw=shirt,905,0,0
1659018086700,2393,Search,200,OK,Thread Group 1-7,text,true,,133186,144,10,10,https://ajkerdeal.com/searchproduct.aspx?kw=shirt,506,0,0
1659018087535,2031,Customer Complain,200,OK,Thread Group 1-5,text,true,,122217,138,10,10,https://ajkerdeal.com/customercomplain.aspx,328,0,0
1659018087312,2389,Search,200,OK,Thread Group 1-8,text,true,,133186,144,10,10,https://ajkerdeal.com/searchproduct.aspx?kw=shirt,333,0,0
1659018085939,3774,Search,200,OK,Thread Group 1-3,text,true,,133186,144,10,10,https://ajkerdeal.com/searchproduct.aspx?kw=shirt,346,0,0
1659018087987,1780,Customer Complain,200,OK,Thread Group 1-9,text,true,,122217,138,10,10,https://ajkerdeal.com/customercomplain.aspx,510,0,0
